#NUMBER;RN;SN;VN;NAME;LOCATION;STATUS;LATX;NS;VF;LONGX;EW;ELEV;TYPE;TIMEFRAME
0803-06=;08;03;-06-;Norikura;Honshu-Japan;Radiocarbon;36,10333333;N;;137,5566667;E;3026;Stratovolcanoes;D7
0803-071;08;03;-071;Washiba-Kumonotaira;Honshu-Japan;Holocene;36,40805556;N;;137,5941667;E;2924;Shield volcanoes;D
0803-07=;08;03;-07-;Yake-dake;Honshu-Japan;Historical;36,22361111;N;;137,59;E;2455;Stratovolcanoes;D2
0803-08=;08;03;-08-;Tate-yama;Honshu-Japan;Historical;36,56805556;N;;137,5927778;E;2621;Stratovolcano;D3
0803-09=;08;03;-09-;Niigata-Yake-yama;Honshu-Japan;Historical;36,91777778;N;;138,0391667;E;2400;Lava dome;D2
0803-10=;08;03;-10-;Myoko;Honshu-Japan;Radiocarbon;36,88833333;N;;138,1166667;E;2446;Stratovolcano;D7
0803-11=;08;03;-11-;Asama;Honshu-Japan;Historical;36,40333333;N;;138,5261111;E;2568;Complex volcano;D1
0803-121;08;03;-121;Shiga;Honshu-Japan;Holocene?;36,6875;N;;138,5191667;E;2041;Shield volcanoes;?
0803-122;08;03;-122;Haruna;Honshu-Japan;Anthropology;36,47388889;N;;138,8813889;E;1449;Stratovolcano;D6
0803-12=;08;03;-12-;Kusatsu-Shirane;Honshu-Japan;Historical;36,61972222;N;;138,535;E;2171;Stratovolcanoes;D2
0803-131;08;03;-131;Hiuchi;Honshu-Japan;Historical;36,95194444;N;;139,2886111;E;2356;Stratovolcano;D5
0803-13=;08;03;-13-;Akagi;Honshu-Japan;Holocene?;36,55722222;N;;139,1963889;E;1828;Stratovolcano;?
0803-141;08;03;-141;Nantai;Honshu-Japan;Radiocarbon;36,76194444;N;;139,4941667;E;2486;Stratovolcano;D7
0803-142;08;03;-142;Omanago Group;Honshu-Japan;Radiocarbon;36,79222222;N;;139,5102778;E;2367;Lava domes;D7
0803-143;08;03;-143;Takahara;Honshu-Japan;Holocene;36,89694444;N;;139,78;E;1795;Stratovolcano;D7
0803-14=;08;03;-14-;Nikko-Shirane;Honshu-Japan;Historical;36,79555556;N;;139,3791667;E;2578;Shield volcano;D2
0803-151;08;03;-151;Numazawa;Honshu-Japan;Radiocarbon;37,45027778;N;;139,5788889;E;1100;Shield volcano;D7
0803-15=;08;03;-15-;Nasu;Honshu-Japan;Historical;37,12166667;N;;139,9661111;E;1915;Stratovolcanoes;D2
0803-16=;08;03;-16-;Bandai;Honshu-Japan;Historical;37,59805556;N;;140,0755556;E;1819;Stratovolcano;D3
0803-17=;08;03;-17-;Adatara;Honshu-Japan;Historical;37,64416667;N;;140,2861111;E;1718;Stratovolcanoes;D2
0803-18=;08;03;-18-;Azuma;Honshu-Japan;Historical;37,73222222;N;;140,2477778;E;2035;Stratovolcanoes;D2
0803-191;08;03;-191;Hijiori;Honshu-Japan;Holocene;38,60583333;N;;140,1783333;E;516;Caldera;U
0803-19=;08;03;-19-;Zao;Honshu-Japan;Historical;38,14055556;N;;140,4427778;E;1841;Complex volcano;D2
0803-20=;08;03;-20-;Narugo;Honshu-Japan;Historical;38,73305556;N;;140,7316667;E;470;Caldera;D6
0803-21=;08;03;-21-;Kurikoma;Honshu-Japan;Historical;38,95805556;N;;140,7919444;E;1628;Stratovolcano;D2
0803-22=;08;03;-22-;Chokai;Honshu-Japan;Historical;39,09638889;N;;140,0522222;E;2233;Stratovolcanoes;D2
0803-23=;08;03;-23-;Akita-Komaga-take;Honshu-Japan;Historical;39,75833333;N;;140,8027778;E;1637;Stratovolcanoes;D2
0803-24=;08;03;-24-;Iwate;Honshu-Japan;Historical;39,84972222;N;;141,0044444;E;2041;Complex volcano;D2
0803-25=;08;03;-25-;Hachimantai;Honshu-Japan;Radiocarbon;39,955;N;;140,8575;E;1614;Stratovolcano;D7
0803-262;08;03;-262;Megata;Honshu-Japan;Tephrochronology;39,95;N;;139,7333333;E;291;Maars;D7
0803-26=;08;03;-26-;Akita-Yake-yama;Honshu-Japan;Historical;39,96111111;N;;140,7605556;E;1366;Stratovolcano;D2
0803-271;08;03;-271;Towada;Honshu-Japan;Historical;40,46666667;N;;140,9166667;E;1159;Caldera;D6
0803-27=;08;03;-27-;Iwaki;Honshu-Japan;Historical;40,65333333;N;;140,3066667;E;1625;Stratovolcano;D3
0803-28=;08;03;-28-;Hakkoda Group;Honshu-Japan;Radiocarbon;40,65611111;N;;140,8808333;E;1585;Stratovolcanoes;D5
0803-29=;08;03;-29-;Osore-yama;Honshu-Japan;Historical;41,27583333;N;;141,1236111;E;879;Stratovolcano;D4
0804-011;08;04;-011;To-shima;Izu Is-Japan;Tephrochronology;34,51694444;N;;139,2825;E;508;Stratovolcano;D7
0804-01=;08;04;-01-;Oshima;Izu Is-Japan;Historical;34,72138889;N;;139,3977778;E;764;Stratovolcano;D2
0804-02=;08;04;-02-;Nii-jima;Izu Is-Japan;Historical;34,39333333;N;;139,2733333;E;432;Lava domes;D6
0804-03=;08;04;-03-;Kozu-shima;Izu Is-Japan;Historical;34,21611111;N;;139,1563889;E;572;Lava domes;D6
0804-041;08;04;-041;Mikura-jima;Izu Is-Japan;Tephrochronology;33,87111111;N;;139,605;E;851;Stratovolcano;D7
0804-042;08;04;-042;Kurose Hole;Izu Is-Japan;Holocene?;33,4;N;;139,6833333;E;-107;Submarine volcano;?
0804-04=;08;04;-04-;Miyake-jima;Izu Is-Japan;Historical;34,07861111;N;;139,5294444;E;815;Stratovolcano;D1
0804-05=;08;04;-05-;Hachijo-jima;Izu Is-Japan;Historical;33,13333333;N;;139,7691667;E;854;Stratovolcanoes;D5
0804-061;08;04;-061;Myojin Knoll;Izu Is-Japan;Holocene?;32,1;N;;139,85;E;360;Submarine volcano;?
0804-06=;08;04;-06-;Aoga-shima;Izu Is-Japan;Historical;32,45416667;N;;139,7622222;E;423;Stratovolcano;D4
0804-07=;08;04;-07-;Bayonnaise Rocks;Izu Is-Japan;Historical;31,88333333;N;;139,9166667;E;11;Submarine volcano;D2
0804-08=;08;04;-08-;Smith Rock;Izu Is-Japan;Historical;31,43583333;N;;140,0536111;E;136;Submarine volcano;D2
0804-091;08;04;-091;Sofugan;Izu Is-Japan;Uncertain;29,78944444;N;;140,3452778;E;99;Stratovolcano;?
0804-093;08;04;-093;Suiyo Seamount;Izu Is-Japan;Fumarolic;28,6;N;;140,6333333;E;-1418;Submarine volcano;U
0804-094;08;04;-094;Mokuyo Seamount;Izu Is-Japan;Fumarolic;28,31666667;N;;140,5666667;E;-920;Submarine volcano;U
0804-095;08;04;-095;Doyo Seamount;Izu Is-Japan;Fumarolic;27,68333333;N;;140,8;E;-860;Submarine volcano;U
0804-096;08;04;-096;Nishino-shima;Volcano Is-Japan;Historical;27,27416667;N;;140,8822222;E;38;Caldera;D2
0804-097;08;04;-097;Kaikata Seamount;Volcano Is-Japan;Fumarolic;26,66666667;N;;141;E;-162;Submarine volcano;U
0804-09=;08;04;-09-;Tori-shima;Izu Is-Japan;Historical;30,48;N;;140,3061111;E;394;Stratovolcano;D1
0804-101;08;04;-101;Unnamed;Volcano Is-Japan;Uncertain;26,13333333;N;;144,4833333;E;-3200;Submarine volcano?;?
0804-10=;08;04;-10-;Kaitoku Seamount;Volcano Is-Japan;Historical;26,12166667;N;;141,1016667;E;-103;Submarine volcano;D2
0804-11=;08;04;-11-;Kita-Iwo-jima;Volcano Is-Japan;Historical;25,42361111;N;;141,2838889;E;792;Stratovolcano;D2
0804-121;08;04;-121;Kita-Fukutokutai;Volcano Is-Japan;Historical;24,41388889;N;;141,4186111;E;-73;Submarine volcano;D2
0804-12=;08;04;-12-;Ioto [Iwo-jima];Volcano Is-Japan;Historical;24,75361111;N;;141,2902778;E;161;Caldera;D1
0804-131;08;04;-131;Minami-Hiyoshi;Volcano Is-Japan;Historical;23,49666667;N;;141,94;E;-30;Submarine volcano;D2
0804-132;08;04;-132;Nikko;Volcano Is-Japan;Fumarolic;23,075;N;;142,3083333;E;-391;Submarine volcano;U
0804-133;08;04;-133;Fukujin;Volcano Is-Japan;Historical;21,93333333;N;;143,4666667;E;-217;Submarine volcano;D2
0804-134;08;04;-134;Kasuga;Volcano Is-Japan;Historical;21,765;N;;143,71;E;-598;Submarine volcano;D2
0804-135;08;04;-135;Minami Kasuga;Volcano Is-Japan;Holocene;21,6;N;;143,6366667;E;-274;Submarine volcano;U
0804-136;08;04;-136;NW Eifuku;Volcano Is-Japan;Fumarolic;21,48472222;N;;144,0430556;E;-1535;Submarine volcano;U
0804-137;08;04;-137;Daikoku;Volcano Is-Japan;Fumarolic;21,32361111;N;;144,1944444;E;-323;Submarine volcano;U
0804-138;08;04;-138;Unnamed;Mariana Is-C Pacific;Uncertain;21;N;;142,9;E;;Submarine volcano?;?
0804-139;08;04;-139;Unnamed;Mariana Is-C Pacific;Uncertain;20,3;N;;143,2;E;;Submarine volcano?;?
0804-13=;08;04;-13-;Fukutoku-Okanoba;Volcano Is-Japan;Historical;24,28333333;N;;141,485;E;-14;Submarine volcano;D1
0804-141;08;04;-141;Ahyi;Mariana Is-C Pacific;Seismicity;20,41666667;N;;145,0333333;E;-137;Submarine volcano;D1
0804-142;08;04;-142;Supply Reef;Mariana Is-C Pacific;Hydrophonic;20,13333333;N;;145,1;E;-8;Submarine volcano;D2
0804-143;08;04;-143;Maug Islands;Mariana Is-C Pacific;Fumarolic;20,01666667;N;;145,2166667;E;227;Stratovolcano;U
0804-14=;08;04;-14-;Farallon de Pajaros;Mariana Is-C Pacific;Historical;20,53805556;N;;144,8958333;E;360;Stratovolcano;D2
0804-15=;08;04;-15-;Asuncion;Mariana Is-C Pacific;Historical;19,67083333;N;;145,4055556;E;857;Stratovolcano;D2
0804-16=;08;04;-16-;Agrigan;Mariana Is-C Pacific;Historical;18,76666667;N;;145,6666667;E;965;Stratovolcano;D2
0804-17=;08;04;-17-;Pagan;Mariana Is-C Pacific;Historical;18,13333333;N;;145,8;E;570;Stratovolcanoes;D1
0804-18=;08;04;-18-;Alamagan;Mariana Is-C Pacific;Radiocarbon;17,6;N;;145,8333333;E;744;Stratovolcano;D6
0804-191;08;04;-191;Zealandia Bank;Mariana Is-C Pacific;Fumarolic;16,88333333;N;;145,85;E;0;Stratovolcano;U
0804-192;08;04;-192;Sarigan;Mariana Is-C Pacific;Holocene;16,70833333;N;;145,7833333;E;538;Stratovolcano;U
0804-19=;08;04;-19-;Guguan;Mariana Is-C Pacific;Historical;17,30722222;N;;145,8447222;E;287;Stratovolcano;D3
0804-201;08;04;-201;East Diamante;Mariana Is-C Pacific;Fumarolic;15,93333333;N;;145,6666667;E;-127;Submarine volcano;U
0804-202;08;04;-202;Ruby;Mariana Is-C Pacific;Historical;15,61666667;N;;145,5666667;E;-230;Submarine volcano;D2
0804-20=;08;04;-20-;Anatahan;Mariana Is-C Pacific;Historical;16,35;N;;145,6666667;E;790;Stratovolcano;D1
0804-211;08;04;-211;NW Rota-1;Mariana Is-C Pacific;Historical;14,60111111;N;;144,7752778;E;-517;Submarine volcano;D1
0804-21=;08;04;-21-;Esmeralda Bank;Mariana Is-C Pacific;Fumarolic;15;N;;145,25;E;-43;Submarine volcano;U
0804-22-;08;04;-22-;Forecast Seamount;Mariana Is-C Pacific;Fumarolic;13,4;N;;143,9166667;E;;Submarine volcano;U
0804-23-;08;04;-23-;Seamount X;Mariana Is-C Pacific;Fumarolic;13,25;N;;144,0166667;E;-1230;Submarine volcano;U
0805-011;08;05;-011;E-san;Hokkaido-Japan;Historical;41,80222222;N;;141,1697222;E;618;Stratovolcano;D3
0805-01=;08;05;-01-;Oshima-Oshima;Hokkaido-Japan;Historical;41,50694444;N;;139,3711111;E;737;Stratovolcano;D4
0805-02=;08;05;-02-;Komaga-take;Hokkaido-Japan;Historical;42,06083333;N;;140,6808333;E;1131;Stratovolcano;D1
0805-031;08;05;-031;Niseko;Hokkaido-Japan;Tephrochronology;42,88333333;N;;140,6333333;E;1154;Stratovolcanoes;D7
0805-032;08;05;-032;Yotei;Hokkaido-Japan;Tephrochronology;42,82972222;N;;140,815;E;1898;Stratovolcano;D7
0805-034;08;05;-034;Kuttara;Hokkaido-Japan;Tephrochronology;42,48888889;N;;141,1633333;E;581;Stratovolcanoes;D3
0805-03=;08;05;-03-;Usu;Hokkaido-Japan;Historical;42,54138889;N;;140,8427778;E;737;Stratovolcano;D1
0805-041;08;05;-041;Rishiri;Hokkaido-Japan;Radiocarbon;45,18333333;N;;141,25;E;1721;Stratovolcano;D7
0805-04=;08;05;-04-;Shikotsu;Hokkaido-Japan;Historical;42,68805556;N;;141,3802778;E;1320;Caldera;D2
0805-05=;08;05;-05-;Tokachi;Hokkaido-Japan;Historical;43,41555556;N;;142,6902778;E;2077;Stratovolcanoes;D1
0805-061;08;05;-061;Nipesotsu-Maruyama;Hokkaido-Japan;Historical;43,45333333;N;;143,0361111;E;2013;Stratovolcanoes;D3
0805-062;08;05;-062;Shikaribetsu Group;Hokkaido-Japan;Holocene?;43,31222222;N;;143,0955556;E;1401;Lava domes;?
0805-06=;08;05;-06-;Daisetsu;Hokkaido-Japan;Tephrochronology;43,66111111;N;;142,8580556;E;2290;Stratovolcanoes;D4
0805-07=;08;05;-07-;Akan;Hokkaido-Japan;Historical;43,38416667;N;;144,0127778;E;1499;Caldera;D1
0805-081;08;05;-081;Mashu;Hokkaido-Japan;Radiocarbon;43,56972222;N;;144,5652778;E;855;Caldera;D6
0805-082;08;05;-082;Rausu;Hokkaido-Japan;Radiocarbon;44,07333333;N;;145,1263889;E;1660;Stratovolcano;D3
0805-08=;08;05;-08-;Kutcharo;Hokkaido-Japan;Tephrochronology;43,60777778;N;;144,4425;E;999;Caldera;D6
0805-09=;08;05;-09-;Shiretoko-Iwo-zan;Hokkaido-Japan;Historical;44,13083333;N;;145,1652778;E;1563;Stratovolcano;D2
0900-01=;09;00;-01-;Golovnin;Kuril Is;Historical;43,84111111;N;;145,5086111;E;543;Caldera;D3
0900-021;09;00;-021;Smirnov;Kuril Is;Holocene;44,41972222;N;;146,1347222;E;1189;Stratovolcano;U
0900-02=;09;00;-02-;Mendeleev;Kuril Is;Historical;43,97638889;N;;145,7361111;E;888;Stratovolcano;D3
0900-03=;09;00;-03-;Tiatia;Kuril Is;Historical;44,35083333;N;;146,2563889;E;1819;Stratovolcano;D2
0900-041;09;00;-041;Lvinaya Past;Kuril Is;Radiocarbon;44,60833333;N;;146,9938889;E;528;Stratovolcano;D7
0900-04=;09;00;-04-;Berutarube;Kuril Is;Holocene;44,45916667;N;;146,9363889;E;1221;Stratovolcano;U
0900-05=;09;00;-05-;Atsonupuri;Kuril Is;Historical;44,805;N;;147,135;E;1206;Stratovolcano;D2
0900-06-;09;00;-06-;Bogatyr Ridge;Kuril Is;Holocene;44,83305556;N;;147,3419444;E;1634;Stratovolcano;U
0900-061;09;00;-061;Unnamed;Kuril Is;Uncertain;45,03333333;N;;147,2083333;E;-930;Submarine volcano;?
0900-07=;09;00;-07-;Grozny Group;Kuril Is;Historical;45,02611111;N;;147,9219444;E;1211;Complex volcanoes;D2
0900-08=;09;00;-08-;Baransky;Kuril Is;Historical;45,09722222;N;;148,0241667;E;1132;Stratovolcano;D2
0900-091;09;00;-091;Golets-Tornyi Group;Kuril Is;Holocene?;45,25;N;;148,35;E;442;Pyroclastic cones;?
0900-09=;09;00;-09-;Chirip;Kuril Is;Historical;45,33805556;N;;147,925;E;1587;Stratovolcanoes;D3
0900-10=;09;00;-10-;Medvezhia;Kuril Is;Historical;45,38666667;N;;148,8425;E;1125;Somma volcano;D2
0900-11-;09;00;-11-;Demon;Kuril Is;Holocene;45,5;N;;148,85;E;1205;Stratovolcano;U
0900-111;09;00;-111;Ivao Group;Kuril Is;Holocene;45,76666667;N;;149,6833333;E;1426;Cinder cones;U
0900-112;09;00;-112;Rudakov;Kuril Is;Holocene?;45,88333333;N;;149,8333333;E;542;Stratovolcano;?
0900-113;09;00;-113;Tri Sestry;Kuril Is;Holocene?;45,93333333;N;;149,9166667;E;998;Stratovolcano;?
0900-12=;09;00;-12-;Kolokol Group;Kuril Is;Historical;46,04166667;N;;150,05;E;1328;Somma volcanoes;D2
0900-13-;09;00;-13-;Unnamed;Kuril Is;Uncertain;46,1;N;;150,5;E;-100;Submarine volcano?;?
0900-15=;09;00;-15-;Chirpoi;Kuril Is;Historical;46,525;N;;150,875;E;742;Caldera;D2
0900-16-;09;00;-16-;Unnamed;Kuril Is;Hydrophonic;46,46666667;N;;151,2833333;E;-502;Submarine volcano;D2
0900-161;09;00;-161;Milne;Kuril Is;Holocene;46,81666667;N;;151,7833333;E;1540;Somma volcano;U
0900-17=;09;00;-17-;Goriaschaia Sopka;Kuril Is;Historical;46,83333333;N;;151,75;E;891;Stratovolcano;D2
0900-18=;09;00;-18-;Zavaritzki Caldera;Kuril Is;Historical;46,925;N;;151,95;E;624;Caldera;D2
0900-191;09;00;-191;Urataman;Kuril Is;Holocene;47,11666667;N;;152,25;E;678;Somma volcano;U
0900-19=;09;00;-19-;Prevo Peak;Kuril Is;Historical;47,01666667;N;;152,1166667;E;1360;Stratovolcano;D3
0900-20=;09;00;-20-;Ketoi;Kuril Is;Historical;47,35;N;;152,475;E;1172;Stratovolcano;D2
0900-211;09;00;-211;Srednii;Kuril Is;Holocene;47,6;N;;152,9166667;E;36;Submarine volcano;U
0900-21=;09;00;-21-;Ushishur;Kuril Is;Historical;47,51666667;N;;152,8;E;401;Caldera;D3
0900-22=;09;00;-22-;Rasshua;Kuril Is;Historical;47,76666667;N;;153,0166667;E;956;Stratovolcano;D2
0900-23=;09;00;-23-;Unnamed;Kuril Is;Historical;48,08333333;N;;153,3333333;E;-150;Submarine volcano;D2
0900-24=;09;00;-24-;Sarychev Peak;Kuril Is;Historical;48,09166667;N;;153,2;E;1496;Stratovolcano;D1
0900-25=;09;00;-25-;Raikoke;Kuril Is;Historical;48,29166667;N;;153,25;E;551;Stratovolcano;D2
0900-26=;09;00;-26-;Chirinkotan;Kuril Is;Historical;48,98333333;N;;153,4833333;E;724;Stratovolcano;D1
0900-27=;09;00;-27-;Ekarma;Kuril Is;Historical;48,95833333;N;;153,9333333;E;1170;Stratovolcano;D2
0900-29=;09;00;-29-;Sinarka;Kuril Is;Historical;48,875;N;;154,175;E;934;Stratovolcano;D3
0900-30=;09;00;-30-;Kharimkotan;Kuril Is;Historical;49,11666667;N;;154,5083333;E;1145;Stratovolcano;D2
0900-31=;09;00;-31-;Tao-Rusyr Caldera;Kuril Is;Historical;49,35;N;;154,7;E;1325;Stratovolcano;D2
0900-32=;09;00;-32-;Nemo Peak;Kuril Is;Historical;49,56666667;N;;154,8083333;E;1018;Caldera;D2
0900-331;09;00;-331;Shirinki;Kuril Is;Holocene;50,2;N;;154,9833333;E;761;Stratovolcano;U
0900-34=;09;00;-34-;Fuss Peak;Kuril Is;Historical;50,26666667;N;;155,25;E;1772;Stratovolcano;D3
0900-351;09;00;-351;Lomonosov Group;Kuril Is;Holocene;50,25;N;;155,4333333;E;1681;Cinder cones;U
0900-35=;09;00;-35-;Karpinsky Group;Kuril Is;Historical;50,13333333;N;;155,3666667;E;1345;Cones;D2
0900-36=;09;00;-36-;Chikurachki;Kuril Is;Historical;50,325;N;;155,4583333;E;1816;Stratovolcanoes;D1
0900-37-;09;00;-37-;Vernadskii Ridge;Kuril Is;Holocene;50,55;N;;155,9666667;E;1183;Cinder cones;U
0900-38=;09;00;-38-;Ebeko;Kuril Is;Historical;50,68333333;N;;156,0166667;E;1156;Somma volcano;D1
0900-39=;09;00;-39-;Alaid;Kuril Is;Historical;50,85833333;N;;155,55;E;2339;Stratovolcano;D2
1000-001;10;00;-001;Mashkovtsev;Kamchatka;Holocene;51,1;N;;156,7166667;E;503;Stratovolcano;U
1000-01=;10;00;-01-;Kambalny;Kamchatka;Historical;51,3;N;;156,8666667;E;2156;Stratovolcano;D6
1000-021;10;00;-021;Yavinsky;Kamchatka;Tephrochronology;51,56666667;N;;156,6;E;705;Stratovolcano;D7
1000-022;10;00;-022;Diky Greben;Kamchatka;Radiocarbon;51,45;N;;156,9666667;E;1070;Lava domes;D6
1000-023;10;00;-023;Kurile Lake;Kamchatka;Radiocarbon;51,45;N;;157,1166667;E;81;Caldera;D7
1000-02=;10;00;-02-;Koshelev;Kamchatka;Historical;51,35666667;N;;156,75;E;1812;Stratovolcano;D5
1000-03=;10;00;-03-;Ilyinsky;Kamchatka;Historical;51,49;N;;157,2;E;1578;Stratovolcano;D2
1000-041;10;00;-041;Kell;Kamchatka;Holocene;51,65;N;;157,35;E;900;Stratovolcanoes;U
1000-042;10;00;-042;Belenkaya;Kamchatka;Holocene;51,75;N;;157,2666667;E;892;Stratovolcano;U
1000-04=;10;00;-04-;Zheltovsky;Kamchatka;Historical;51,56666667;N;;157,3233333;E;1953;Stratovolcano;D2
1000-051;10;00;-051;Ozernoy;Kamchatka;Holocene;51,88333333;N;;157,3833333;E;562;Shield volcano;U
1000-052;10;00;-052;Olkoviy Volc Group;Kamchatka;Holocene;52,01666667;N;*;157,5333333;E;681;Volcanic field;U
1000-053;10;00;-053;Khodutka;Kamchatka;Radiocarbon;52,0625;N;;157,7033333;E;2090;Stratovolcanoes;D7
1000-054;10;00;-054;Piratkovsky;Kamchatka;Holocene;52,1125;N;;157,8486111;E;1322;Stratovolcano;U
1000-055;10;00;-055;Ostanets;Kamchatka;Holocene;52,14583333;N;;157,3216667;E;719;Shield volcanoes;U
1000-056;10;00;-056;Otdelniy;Kamchatka;Holocene;52,22;N;*;157,4283333;E;791;Shield volcanoes;U
1000-057;10;00;-057;Golaya;Kamchatka;Holocene;52,2625;N;;157,7866667;E;858;Stratovolcano;U
1000-058;10;00;-058;Asacha;Kamchatka;Holocene;52,355;N;;157,8266667;E;1910;Complex volcano;U
1000-059;10;00;-059;Visokiy;Kamchatka;Holocene;52,43333333;N;;157,9333333;E;1234;Stratovolcano;U
1000-05=;10;00;-05-;Ksudach;Kamchatka;Historical;51,8;N;;157,5333333;E;1079;Stratovolcano;D2
1000-06=;10;00;-06-;Mutnovsky;Kamchatka;Historical;52,45333333;N;;158,195;E;2322;Complex volcano;D1
1000-07=;10;00;-07-;Gorely;Kamchatka;Historical;52,55833333;N;;158,0333333;E;1829;Caldera;D2
1000-081;10;00;-081;Unnamed;Kamchatka;Holocene;52,56666667;N;*;157,0166667;E;610;Cinder cone;U
1000-082;10;00;-082;Tolmachev Dol;Kamchatka;Radiocarbon;52,63333333;N;*;157,5833333;E;1021;Cinder cones;D6
1000-083;10;00;-083;Vilyuchik;Kamchatka;Tephrochronology;52,7;N;;158,2833333;E;2173;Stratovolcano;D7
1000-084;10;00;-084;Barkhatnaya Sopka;Kamchatka;Tephrochronology;52,82333333;N;;158,2666667;E;870;Lava domes;D7
1000-085;10;00;-085;Unnamed;Kamchatka;Holocene;52,91666667;N;;158,5166667;E;450;Shield volcanoes;U
1000-086;10;00;-086;Unnamed;Kamchatka;Holocene;52,88333333;N;;158,3;E;700;Shield volcanoes;U
1000-087;10;00;-087;Bolshe-Bannaya;Kamchatka;Holocene;52,9;N;;157,7833333;E;1200;Lava domes;U
1000-08=;10;00;-08-;Opala;Kamchatka;Historical;52,54333333;N;;157,335;E;2475;Caldera;D4
1000-09=;10;00;-09-;Koryaksky;Kamchatka;Historical;53,32;N;;158,6883333;E;3456;Stratovolcano;D1
1000-10=;10;00;-10-;Avachinsky;Kamchatka;Historical;53,255;N;;158,83;E;2741;Stratovolcano;D1
1000-11=;10;00;-11-;Dzenzursky;Kamchatka;Holocene;53,63666667;N;;158,9216667;E;2285;Compound volcano;U
1000-121;10;00;-121;Veer;Kamchatka;Tephrochronology;53,75;N;;158,45;E;520;Cinder cones;D6
1000-122;10;00;-122;Kostakan;Kamchatka;Holocene;53,83333333;N;*;158,05;E;1150;Cinder cones;D6
1000-123;10;00;-123;Bakening;Kamchatka;Tephrochronology;53,905;N;;158,0666667;E;2278;Stratovolcano;D7
1000-124;10;00;-124;Zavaritsky;Kamchatka;Radiocarbon;53,905;N;;158,385;E;1567;Cinder cones;D7
1000-125;10;00;-125;Akademia Nauk;Kamchatka;Historical;53,98333333;N;;159,45;E;1180;Stratovolcanoes;D2
1000-12=;10;00;-12-;Zhupanovsky;Kamchatka;Historical;53,59;N;;159,1466667;E;2958;Compound volcano;D2
1000-13=;10;00;-13-;Karymsky;Kamchatka;Historical;54,05;N;;159,45;E;1536;Stratovolcano;D1
1000-14=;10;00;-14-;Maly Semiachik;Kamchatka;Historical;54,13333333;N;;159,6666667;E;1560;Caldera;D2
1000-15=;10;00;-15-;Bolshoi Semiachik;Kamchatka;Radiocarbon;54,31666667;N;;160,0166667;E;1720;Stratovolcanoes;D7
1000-16-;10;00;-16-;Taunshits;Kamchatka;Radiocarbon;54,53333333;N;;159,8;E;2353;Stratovolcano;D7
1000-17=;10;00;-17-;Uzon;Kamchatka;Radiocarbon;54,5;N;;159,9666667;E;1617;Calderas;D6
1000-18=;10;00;-18-;Kikhpinych;Kamchatka;Radiocarbon;54,48666667;N;;160,2533333;E;1552;Stratovolcanoes;D5
1000-19=;10;00;-19-;Krasheninnikov;Kamchatka;Radiocarbon;54,59333333;N;;160,2733333;E;1856;Caldera;D5
1000-201;10;00;-201;Schmidt;Kamchatka;Holocene;54,91666667;N;;160,6333333;E;2020;Shield volcano;U
1000-20=;10;00;-20-;Kronotsky;Kamchatka;Historical;54,75333333;N;;160,5266667;E;3528;Stratovolcano;D2
1000-21=;10;00;-21-;Gamchen;Kamchatka;Tephrochronology;54,97333333;N;;160,7016667;E;2576;Complex volcano;D7
1000-221;10;00;-221;Vysoky;Kamchatka;Radiocarbon;55,06666667;N;;160,7666667;E;2161;Stratovolcano;D7
1000-22=;10;00;-22-;Komarov;Kamchatka;Radiocarbon;55,03166667;N;;160,72;E;2070;Stratovolcano;D6
1000-232;10;00;-232;Unnamed;Kamchatka;Holocene?;55,91666667;N;*;161,75;E;;Cinder cones;?
1000-23=;10;00;-23-;Kizimen;Kamchatka;Historical;55,13;N;;160,3166667;E;2376;Stratovolcano;D2
1000-241;10;00;-241;Udina;Kamchatka;Holocene;55,755;N;;160,5266667;E;2923;Stratovolcanoes;U
1000-242;10;00;-242;Zimina;Kamchatka;Holocene;55,86166667;N;;160,6033333;E;3081;Stratovolcanoes;U
1000-24=;10;00;-24-;Tolbachik;Kamchatka;Historical;55,83;N;;160,33;E;3682;Shield volcano;D2
1000-251;10;00;-251;Kamen;Kamchatka;Holocene;56,01666667;N;;160,5933333;E;4585;Stratovolcano;U
1000-25=;10;00;-25-;Bezymianny;Kamchatka;Historical;55,97833333;N;;160,5866667;E;2882;Stratovolcano;D1
1000-261;10;00;-261;Ushkovsky;Kamchatka;Historical;56,07027778;N;;160,47;E;3943;Compound volcano;D3
1000-26=;10;00;-26-;Kliuchevskoi;Kamchatka;Historical;56,05666667;N;;160,6383333;E;4835;Stratovolcano;D1
1000-271;10;00;-271;Piip;Kamchatka-E of;Tephrochronology;55,41666667;N;;167,3333333;E;-300;Submarine volcano;D7
1000-272;10;00;-272;Khangar;Kamchatka;Radiocarbon;54,75;N;;157,3833333;E;2000;Stratovolcano;D5
1000-273;10;00;-273;Cherpuk Group;Kamchatka;Radiocarbon;55,55;N;;157,4666667;E;1868;Pyroclastic cones;D7
1000-27=;10;00;-27-;Shiveluch;Kamchatka;Historical;56,65333333;N;;161,36;E;3283;Stratovolcano;D1
1000-28=;10;00;-28-;Ichinsky;Kamchatka;Historical;55,68333333;N;;157,7333333;E;3621;Stratovolcano;D4
1000-29-;10;00;-29-;Maly Payalpan;Kamchatka;Holocene?;55,81666667;N;;157,9833333;E;1802;Shield volcanoes;?
